wallet,predicted_score,risk_category
User_517,80.39,High
User_518,103.66,High
User_519,202.91,High
User_520,37.19,High
User_521,29.6,High
User_522,40.07,High
User_523,37.19,High
User_524,10.1,High
User_525,20.0,High
User_526,120.7,High
User_527,37.19,High
User_528,10.1,High
User_529,20.0,High
User_530,20.0,High
User_531,143.64,High
User_532,20.0,High
User_533,20.0,High
User_534,31.89,High
User_535,20.0,High
User_536,51.49,High
User_537,20.0,High
User_538,700.6,Low
User_539,29.6,High
User_540,998.69,Low
User_541,497.75,Medium
User_542,119.29,High
User_543,0.0,High
User_544,89.97,High
User_545,20.0,High
User_546,395.73,High
User_547,99.24,High
User_548,1000.0,Low
User_549,196.61,High
User_550,20.0,High
User_551,40.07,High
User_552,34.57,High
User_553,51.16,High
User_554,309.99,High
User_555,29.6,High
User_556,168.95,High
User_557,1000.0,Low
User_558,40.07,High
User_559,37.19,High
User_560,20.0,High
User_561,31.89,High
User_562,234.79,High
User_563,242.05,High
User_564,211.25,High
User_565,482.78,Medium
User_566,21.75,High
User_567,40.07,High
User_568,24.46,High
User_569,10.1,High
User_570,20.0,High
User_571,812.55,Low
User_572,29.6,High
User_573,1000.0,Low
User_574,503.61,Medium
User_575,10.1,High
User_576,29.6,High
User_577,31.89,High
User_578,10.1,High
User_579,1000.0,Low
User_580,20.0,High
User_581,51.16,High
User_582,114.83,High
User_583,425.88,Medium
User_584,59.86,High
User_585,82.0,High
User_586,49.95,High
User_587,1000.0,Low
User_588,20.0,High
User_589,20.0,High
User_590,31.89,High
User_591,20.0,High
User_592,498.36,Medium
User_593,20.0,High
User_594,158.13,High
User_595,20.0,High
User_596,20.0,High
User_597,12.07,High
User_598,176.63,High
User_599,20.0,High
User_600,111.57,High
User_601,614.27,Medium
User_602,162.07,High
User_603,21.52,High
User_604,141.35,High
User_605,51.16,High
User_606,424.56,Medium
User_607,51.57,High
User_608,72.95,High
User_609,31.89,High
User_610,335.66,High
User_611,62.08,High
User_612,997.83,Low
User_613,25.38,High
User_614,40.07,High
User_615,186.07,High
User_616,51.16,High
User_617,20.0,High
User_618,51.16,High
User_619,24.1,High
User_620,1000.0,Low
User_621,60.13,High
User_622,64.48,High
User_623,1000.0,Low
User_624,20.0,High
User_625,31.22,High
User_626,40.07,High
User_627,10.1,High
User_628,40.07,High
User_629,20.0,High
User_630,54.57,High
User_631,142.76,High
User_632,40.07,High
User_633,24.1,High
User_634,20.0,High
User_635,20.0,High
User_636,20.0,High
User_637,21.75,High
User_638,10.1,High
User_639,10.1,High
User_640,999.96,Low
User_641,40.07,High
User_642,40.07,High
User_643,29.6,High
User_644,20.0,High
User_645,145.1,High
User_646,12.07,High
User_647,69.26,High
User_648,20.0,High
User_649,1000.0,Low
User_650,105.91,High
User_651,607.17,Medium
User_652,431.24,Medium
User_653,439.14,Medium
User_654,20.0,High
User_655,191.56,High
User_656,55.97,High
User_657,148.06,High
User_658,999.96,Low
User_659,20.0,High
User_660,1000.0,Low
User_661,127.31,High
User_662,31.89,High
User_663,107.25,High
User_664,29.6,High
User_665,20.0,High
User_666,20.0,High
User_667,170.04,High
User_668,37.19,High
User_669,34.58,High
User_670,10.1,High
User_671,352.19,High
User_672,20.0,High
User_673,20.0,High
User_674,10.1,High
User_675,20.0,High
User_676,20.0,High
User_677,20.0,High
User_678,160.23,High
User_679,10.1,High
User_680,20.0,High
User_681,40.07,High
User_682,905.99,Low
User_683,1000.0,Low
User_684,651.99,Medium
User_685,40.07,High
User_686,59.86,High
User_687,366.68,High
User_688,1.15,High
User_689,40.07,High
User_690,999.96,Low
User_691,20.0,High
User_692,99.24,High
User_693,40.07,High
User_694,20.0,High
User_695,746.41,Low
User_696,37.19,High
User_697,20.0,High
User_698,80.39,High
User_699,55.97,High
User_700,457.53,Medium
User_701,805.74,Low
User_702,20.0,High
User_703,40.07,High
User_704,59.86,High
User_705,1000.0,Low
User_706,998.32,Low
User_707,40.07,High
User_708,99.24,High
User_709,59.86,High
User_710,20.0,High
User_711,106.06,High
User_712,20.0,High
User_713,20.0,High
User_714,92.25,High
User_715,20.0,High
User_716,20.0,High
User_717,37.19,High
User_718,288.17,High
User_719,20.0,High
User_720,231.66,High
User_721,20.0,High
User_722,20.0,High
User_723,37.19,High
User_724,421.98,Medium
User_725,31.89,High
User_726,20.0,High
User_727,93.98,High
User_728,37.19,High
User_729,20.0,High
User_730,0.0,High
User_731,114.55,High
User_732,364.04,High
User_733,88.59,High
User_734,85.37,High
User_735,29.6,High
User_736,31.89,High
User_737,79.88,High
User_738,230.54,High
User_739,20.0,High
User_740,138.76,High
